AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
AF;1509;CDG;E70;45;02.02.2016 15:00;1;02.02.2016 15:08;02.02.2016 14:55;14;;0;J;76;;;;;;
LX;1169;ZRH;AR1;30;02.02.2016 15:05;1;02.02.2016 15:06;02.02.2016 14:54;11;;0;J;97;;;;;;
4U;2004;TXL;319;94;02.02.2016 15:10;1;02.02.2016 15:18;02.02.2016 15:08;51;;0;J;144;;;;;;
FR;3246;MAN;73H;93;02.02.2016 15:10;0;02.02.2016 14:46;02.02.2016 14:49;15*;32;1;J;189;02.02.2016 14:59;02.02.2016 15:02;10;12;2;
AB;6612;HAJ;DH4;31;02.02.2016 15:15;1;02.02.2016 15:19;02.02.2016 15:13;61D;;0;J;76;;;;;;
EW;4996;BRU;CR9;27;02.02.2016 15:15;1;02.02.2016 15:16;02.02.2016 15:08;64D;;0;J;90;;;;;;
4U;2040;HAM;319;102;02.02.2016 15:20;1;02.02.2016 15:29;02.02.2016 15:15;10;;0;J;150;;;;;;
4U;2032;BRE;319;42;02.02.2016 15:25;1;02.02.2016 15:24;02.02.2016 15:15;41;;0;J;144;;;;;;
4U;2072;LEJ;319;16;02.02.2016 15:30;1;02.02.2016 15:33;02.02.2016 15:24;40;;0;J;144;;;;;;
FR;3247;MAN;73H;101;02.02.2016 15:35;0;02.02.2016 15:37;02.02.2016 15:25;15*;;0;J;189;;;;;;
AB;6659;HAM;73W;101;02.02.2016 15:35;1;02.02.2016 15:23;02.02.2016 15:25;14;30;1;J;144;02.02.2016 15:32;02.02.2016 15:33;7;8;1;
4U;2050;HAJ;319;64;02.02.2016 15:40;1;02.02.2016 15:43;02.02.2016 15:38;50;;0;J;150;;;;;;
